row_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,tariff_plan,status,age,customer_value
1573,0.02167654761904763,-0.021969999999999996,-0.0003359912424740059,0.001103916666666669,-0.029232715106732345,-0.042503440476190445,0.00993328571428571,-0.006710404761904772,0.0004900000000000037,-0.054965222222222235,-0.012232416666666659,0.006080488095238076
1157,0.0015414841269841282,-0.019755,0.001809257936507941,0.0020699999999999994,-0.03373908333333332,-0.03186501190476191,-0.0029619801587301717,0.004521932539682544,0.00047499999999999973,-0.055159551587301583,-0.002654916666666666,-0.01794808333333333
1852,0.007250261904761893,-0.025614999999999992,-0.004334595238095243,0.003169999999999999,-0.008010714285714293,-0.026768186507936505,-0.025639884920634914,0.0010775119047619084,0.000154999999999997,-0.04505490079365078,0.0030822499999999995,-0.027977694444444444
665,0.00034596428571428506,-0.02327,0.00922976190476191,0.0035467658730158674,-0.02580465476190476,-0.025543571428571426,-0.011713738095238095,0.0031174642857142846,0.0004349999999999986,-0.06089422619047617,-0.002621361111111113,-0.020493357142857143
2402,0.01178449603174604,-0.030119999999999997,-0.0033342619047619093,0.005425999999999998,-0.0022705436507936575,-0.018998277777777777,-0.03345232142857144,-0.0015664960317460287,0.0002000000000000033,-0.062157964285714275,0.0020268333333333358,-0.02120341666666667
2488,0.012127382936507941,-0.03151,-0.008462232142857138,0.010785055555555551,0.014827337301587293,-0.024481055555555548,-0.03844838095238097,-0.004289537698412704,-0.0030949999999999953,-0.052974980158730145,0.0038923333333333297,-0.027036874999999995
761,0.007172980158730161,0.3941431975916803,0.03675540640394097,0.0005300000000000346,-0.0010752182539683131,0.05785082655993438,-0.0023813186234263707,-0.017003927408319706,0.0016100000000000337,0.12242517857142857,-0.0015943333333330867,0.01290125595238103
343,-0.03392985317460317,-0.033374999999999995,-0.03377421825396826,0.0011233333333333332,0.01054701388888889,-0.00753025,0.008422936507936515,-4.31626984126951e-05,0.00031999999999999694,-0.0640778373015873,0.0013303333333333247,-0.002679248015873009
2590,0.08695288888888886,-0.028534999999999998,-0.024805801587301567,0.004125833333333305,-0.038076753968253996,0.041358708333333334,-0.03194359523809522,-0.006358591269841299,0.0009000000000000174,0.21729998809523807,-0.0006496944444444527,-0.02393393452380951
753,0.013639334586466184,-0.027789999999999992,0.00222529675743306,0.005744999999999995,-0.01781765019509136,-0.05002219472049689,0.00409248440303657,-0.005146247023809522,0.000565000000000001,-0.07557628782183996,-0.006403564244198752,0.012822875877548327
1251,-0.0353248105041354,-0.01416690042984034,0.12338177317050084,0.005424807003040615,0.1264748781830318,0.1920087860461262,0.01150067862497535,0.041891570397442054,0.0008708748114630557,0.2732330276676647,-0.016585839331974522,0.0655894689876597
136,-0.0635870357142857,-0.03229999999999998,0.0009449352548036784,-0.009244666666666661,-0.0427757619047619,-0.015440948412698413,-0.013261369047619051,-0.04013360317460315,0.00033499999999999866,0.1430980476190476,-0.013047514619883026,-0.03825303571428573
250,0.01681288095238095,-0.027000000000000003,-0.015106880952380951,-0.0008788333333333324,-0.017748083333333324,-0.04944028571428573,0.007150083333333321,-0.0022824960317460253,0.00027000000000000044,-0.04720867063492061,-0.010888833333333335,-0.002344833333333335
385,-0.003952837301587304,-0.024564999999999993,-0.014278766865079362,0.006274999999999987,-0.00885203670634922,-0.017893345238095222,0.007812666666666659,-0.02448609523809524,0.0006200000000000004,-0.057425396825396824,0.017777525793650807,0.010302333333333313
2823,0.03625940476190476,-0.015155000000000005,-0.004174297619047621,-0.001785861111111103,-0.03964594047619048,-0.04170882142857143,0.0014516309523809519,-0.010189424603174605,0.000635000000000003,-0.06524364285714286,-0.02005541666666667,0.005946416666666671
341,-0.028245773809523818,-0.02683462499999999,-0.21148611184210525,-0.016494083333333326,0.0013648968253968038,0.025711103174603213,0.0042589126984126984,-0.024233853174603186,0.0006950000000000032,0.14152791703691045,-0.0021648964646464367,0.0022355615079364885
11,0.008466408730158753,-0.014679999999999993,0.0036998690476190248,-0.0035650000000000044,-0.041533206349206354,-0.10833823611111108,-0.005366107142857158,-0.03724121825396824,0.00021999999999998895,0.1600045595238095,-0.011856444444444423,-0.01847657738095238
1186,-0.06716723412698412,-0.02894500000000001,-0.003778635281385318,-0.005779500000000002,-0.0784380634920635,0.020007117063492078,-0.0014681309523809128,-0.044212744047619046,0.0009399999999999874,0.16542842857142853,-0.0070857023809524034,-0.013166487734487711
1508,0.007532380952380939,-0.017349999999999997,0.005801337301587292,0.003174305555555558,-0.036459321428571424,-0.05134521825396825,0.009232277777777777,-0.00315322619047619,0.00038999999999999885,-0.06331704761904762,-0.002048666666666665,-0.006122773809523802
1592,-0.03289834018759018,-0.031573132936507944,-0.14276954627338675,-0.008658378787878798,0.05533210947670122,0.042747570965346496,0.004935883125640886,0.017942643211305252,0.0007399999999999979,-0.02347896503233362,0.00715373604269168,0.011860468015059416
